room_type,availability_365,host_is_superhost,cleaning_fee,cost_per_one_night,property_type,accommodates,cancellation_policy,host_identity_verified,bedrooms,number_of_reviews,city,beds,security_deposit,zipcode,minimum_nights,bathroom_per_person,latitude,longitude,bedroom_per_person,price
0.0,0.0,0.0,60.0,51,0.0,4.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,2026.0,1.0,0.25,-33.89311874,151.263289,0.5,51.0
0.0,0.0,0.0,40.0,10,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,150.0,2022.0,14.0,0.5,-33.89449079,151.2504717,0.5,143.0
0.0,0.0,0.0,30.0,15,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2026.0,7.0,0.5,-33.88625413,151.2719703,0.5,106.0
0.0,0.0,0.0,0.0,55,0.0,4.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,2026.0,4.0,0.25,-33.89317274,151.2721198,0.5,220.0
0.0,0.0,0.0,40.0,120,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,300.0,2026.0,1.0,1.0,-33.88889245,151.2648479,0.5,120.0
1.0,0.0,0.0,0.0,33,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2026.0,3.0,0.5,-33.88355676,151.278261,0.5,100.0
0.0,66.0,1.0,185.0,98,15.0,8.0,2.0,1.0,3.0,124.0,0.0,6.0,1000.0,2026.0,2.0,0.25,-33.88720277,151.2744806,0.375,196.0
1.0,350.0,0.0,50.0,10,18.0,3.0,2.0,1.0,1.0,4.0,0.0,2.0,400.0,2026.0,7.0,0.3333333333333333,-33.88934156,151.2800203,0.3333333333333333,70.0
0.0,180.0,0.0,100.0,349,0.0,4.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,2026.0,1.0,0.25,-33.89164104,151.2774245,0.5,349.0
0.0,0.0,0.0,50.0,71,0.0,4.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,2026.0,4.0,0.25,-33.88966893,151.2836631,0.5,285.0
0.0,0.0,0.0,25.0,141,0.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2026.0,1.0,0.3333333333333333,-33.8881285,151.2684494,0.3333333333333333,141.0
0.0,0.0,0.0,40.0,40,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2026.0,5.0,0.5,-33.89229571,151.2839891,0.5,200.0
