city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price,zipcode,state
Woollahra,151.2366512,-33.88645726,100.0,7,5,5,2.0,2.0,2.0,2000.0,200.0,House,Entire home/apt,311,0.0,0.0,strict_14_with_grace_period,432.0,2025.0,NSW
Rhodes,151.0861852,-33.83018511,84.0,20,1,5,2.0,2.0,3.0,350.0,128.0,Apartment,Entire home/apt,108,0.0,0.0,moderate,169.0,2138.0,NSW
Pyrmont,151.1960815,-33.86967845,100.0,5,2,10,2.5,3.0,3.0,0.0,269.0,Apartment,Entire home/apt,143,0.0,1.0,strict_14_with_grace_period,415.0,2009.0,NSW
Leichhardt,151.1508064,-33.88411156,,0,2,2,1.0,0.0,1.0,0.0,0.0,Apartment,Entire home/apt,0,0.0,0.0,strict_14_with_grace_period,78.0,2040.0,NSW
Epping,151.0729376,-33.77199931,80.0,3,1,2,1.0,1.0,2.0,0.0,0.0,House,Private room,211,1.0,0.0,flexible,46.0,2121,NSW
Elizabeth Bay,151.224418,-33.87085476,,0,1,1,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,0,0.0,0.0,flexible,260.0,2011.0,NSW
Redfern,151.1988097,-33.89232977,93.0,4,1,4,1.0,1.0,2.0,499.0,50.0,Apartment,Entire home/apt,0,1.0,0.0,flexible,109.0,2016,NSW
Leichhardt,151.1524779,-33.88009756,,0,2,1,1.0,1.0,1.0,0.0,0.0,House,Shared room,0,0.0,0.0,flexible,45.0,2040.0,NSW
Petersham,151.1606936,-33.89713193,87.0,31,1,3,1.0,1.0,2.0,0.0,0.0,House,Private room,356,0.0,0.0,moderate,125.0,2049,NSW
Taren Point,151.1236835,-34.01340689,,0,1,7,2.0,4.0,3.0,500.0,50.0,House,Entire home/apt,0,0.0,0.0,flexible,281.0,2229,NSW
Kensington,151.2245847,-33.90417302,93.0,3,3,6,1.0,2.0,2.0,200.0,50.0,Apartment,Entire home/apt,0,1.0,0.0,strict_14_with_grace_period,250.0,2033,NSW
Kingsgrove,151.0988361,-33.93347494,,1,3,1,2.5,1.0,1.0,0.0,20.0,House,Private room,0,1.0,0.0,flexible,55.0,2208,New South Wales
Ermington,151.0515396,-33.82322715,97.0,26,2,4,1.0,1.0,2.0,500.0,85.0,Apartment,Entire home/apt,145,0.0,1.0,strict_14_with_grace_period,125.0,2115.0,NSW
Marsfield,151.1070613,-33.78423767,,0,3,4,1.5,2.0,2.0,0.0,30.0,House,Private room,365,1.0,1.0,flexible,299.0,2122.0,NSW
Kingsford,151.2343762,-33.9211415,93.0,15,3,2,1.0,1.0,1.0,200.0,50.0,Apartment,Private room,340,1.0,0.0,strict_14_with_grace_period,80.0,2032,NSW
Paddington,151.2321646,-33.88183823,,0,5,6,2.0,3.0,3.0,1000.0,200.0,House,Entire home/apt,74,1.0,0.0,strict_14_with_grace_period,299.0,2021.0,NSW
Darlinghurst,151.2203558,-33.87591676,90.0,4,20,2,1.0,0.0,1.0,250.0,60.0,Apartment,Entire home/apt,303,1.0,0.0,moderate,112.0,2010,NSW
Rosebery,151.2025951,-33.91464945,100.0,2,5,2,1.0,1.0,1.0,495.0,0.0,Apartment,Entire home/apt,0,0.0,0.0,flexible,78.0,2018,NSW
Clontarf,151.2559516,-33.80782621,,0,4,12,5.0,5.0,5.0,5000.0,500.0,House,Entire home/apt,360,1.0,0.0,flexible,1500.0,2093.0,NSW
North Sydney,151.2136416,-33.8415909,,0,2,2,1.0,2.0,1.0,0.0,68.0,Apartment,Entire home/apt,0,1.0,0.0,flexible,298.0,2060,NSW
Bondi Beach,151.270257,-33.89591631,100.0,1,4,6,1.5,3.0,5.0,500.0,100.0,House,Entire home/apt,0,1.0,0.0,flexible,235.0,2026,NSW
Dover Heights,151.2823643,-33.88204899,,0,1,2,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,365,0.0,0.0,flexible,202.0,2030,NSW
Ryde,151.1076338,-33.81506732,96.0,10,1,2,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,0,0.0,0.0,moderate,60.0,2112.0,NSW
Coogee,151.2546494,-33.92014848,,0,3,3,1.0,1.0,2.0,0.0,0.0,Apartment,Private room,0,1.0,0.0,moderate,70.0,2034.0,NSW
Wentworthville,150.9650009,-33.80455822,80.0,3,1,1,2.0,1.0,1.0,0.0,0.0,House,Private room,155,0.0,0.0,moderate,49.0,2145,NSW
North Sydney,151.2110025,-33.8370681,96.0,6,2,2,1.0,1.0,1.0,0.0,30.0,Apartment,Private room,0,0.0,0.0,moderate,139.0,2060,NSW
Northbridge,151.2153344,-33.80829242,,0,10,7,3.5,4.0,5.0,0.0,0.0,House,Entire home/apt,23,0.0,0.0,strict_14_with_grace_period,650.0,2063.0,NSW
North Manly,151.2765389,-33.76895704,,0,7,10,2.5,5.0,8.0,1000.0,175.0,House,Entire home/apt,40,1.0,0.0,strict_14_with_grace_period,700.0,2100.0,NSW
Glebe,151.1897998,-33.87082991,97.0,82,4,2,1.0,1.0,1.0,400.0,80.0,Apartment,Entire home/apt,173,1.0,1.0,moderate,175.0,2037,NSW
Bondi Beach,151.2842019,-33.89312867,99.0,16,2,2,1.0,1.0,1.0,500.0,50.0,Apartment,Entire home/apt,229,0.0,1.0,moderate,140.0,2026.0,NSW
Bondi Beach,151.2530757,-33.89204548,93.0,9,2,2,1.0,1.0,2.0,500.0,100.0,Apartment,Private room,90,0.0,0.0,moderate,85.0,2022,NSW
Rockdale,151.1346983,-33.95407377,86.0,7,1,1,1.0,1.0,1.0,0.0,25.0,Apartment,Private room,0,0.0,0.0,strict_14_with_grace_period,37.0,2216.0,NSW
Mosman,151.2449231,-33.81608355,100.0,2,1,2,1.0,1.0,1.0,0.0,0.0,Apartment,Entire home/apt,0,1.0,0.0,flexible,91.0,2088,NSW
Brighton-Le-Sands,151.1535502,-33.96287625,90.0,4,5,4,1.0,2.0,2.0,150.0,155.0,Apartment,Entire home/apt,41,0.0,0.0,strict_14_with_grace_period,150.0,2216,NSW
Burwood,151.1031003,-33.8790498,93.0,7,1,2,2.0,1.0,1.0,0.0,0.0,Apartment,Shared room,0,0.0,0.0,moderate,30.0,2134.0,NSW
Sydney,151.2043493,-33.8745943,100.0,1,3,4,1.0,2.0,4.0,200.0,0.0,Serviced apartment,Entire home/apt,232,0.0,0.0,strict_14_with_grace_period,399.0,2000,New South Wales
Allambie Heights,151.2475716,-33.75998022,,2,7,2,1.0,1.0,5.0,0.0,200.0,House,Private room,180,1.0,0.0,strict_14_with_grace_period,340.0,2100.0,NSW
Wentworth Point,151.0769501,-33.82608246,90.0,12,1,2,1.0,1.0,1.0,0.0,20.0,Apartment,Private room,0,0.0,0.0,flexible,50.0,2127.0,NSW
Edgecliff,151.2380808,-33.88105382,96.0,57,4,4,1.0,2.0,2.0,0.0,100.0,Apartment,Entire home/apt,2,1.0,1.0,strict_14_with_grace_period,250.0,2027,NSW
Bondi Beach,151.2599457,-33.89160609,,1,85,2,1.0,2.0,2.0,500.0,40.0,Apartment,Entire home/apt,32,0.0,0.0,strict_14_with_grace_period,97.0,2026.0,NSW
