city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price,zipcode
Bondi Beach,151.2648479,-33.88889245,,0,1,2,2.0,1.0,1.0,300.0,40.0,Apartment,Entire home/apt,0,t,f,moderate,120.0,2026
Bondi Beach,151.278261,-33.88355676,100.0,2,3,2,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,0,f,f,flexible,100.0,2026
Bondi Beach,151.2744806,-33.88720277,95.0,124,2,8,2.0,3.0,6.0,1000.0,185.0,House,Entire home/apt,66,t,t,strict_14_with_grace_period,196.0,2026
Bondi Beach,151.2800203,-33.88934156,100.0,4,7,3,1.0,1.0,2.0,400.0,50.0,Other,Private room,350,t,f,strict_14_with_grace_period,70.0,2026
Bondi Beach,151.2774245,-33.89164104,87.0,3,1,4,1.0,2.0,2.0,0.0,100.0,Apartment,Entire home/apt,180,t,f,moderate,349.0,2026
Bondi Beach,151.2836631,-33.88966893,80.0,1,4,4,1.0,2.0,2.0,0.0,50.0,Apartment,Entire home/apt,0,f,f,flexible,285.0,2026
Bondi Beach,151.2684494,-33.8881285,,0,1,3,1.0,1.0,2.0,0.0,25.0,Apartment,Entire home/apt,0,t,f,flexible,141.0,2026
Bondi Beach,151.2839891,-33.89229571,,0,5,2,1.0,1.0,1.0,0.0,40.0,Apartment,Entire home/apt,0,t,f,strict_14_with_grace_period,200.0,2026
Bondi Beach,151.2696994,-33.88937204,100.0,3,1,2,1.0,1.0,1.0,0.0,0.0,House,Private room,0,f,f,flexible,91.0,2026
Bondi Beach,151.265418,-33.88910106,100.0,3,2,4,2.0,2.0,2.0,600.0,160.0,Apartment,Entire home/apt,17,t,t,moderate,240.0,2026
Bondi Beach,151.2605975,-33.89368347,,0,3,2,1.0,0.0,1.0,0.0,25.0,Apartment,Private room,42,f,f,flexible,105.0,2026
Bondi Beach,151.2594923,-33.89585433,92.0,18,5,4,2.0,2.0,3.0,500.0,100.0,Apartment,Entire home/apt,65,t,f,strict_14_with_grace_period,250.0,2026
Bondi Beach,151.2729719,-33.88729963,95.0,4,6,4,2.0,2.0,2.0,135.0,75.0,Apartment,Entire home/apt,0,t,f,strict_14_with_grace_period,349.0,2026
Bondi Beach,151.2712125,-33.89189219,,0,3,2,1.0,1.0,1.0,0.0,0.0,Apartment,Entire home/apt,0,f,f,flexible,100.0,2026
Bondi Beach,151.2602464,-33.8902003,80.0,2,3,2,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,77,f,f,moderate,63.0,2026
Bondi Beach,151.2498431,-33.89084392,,0,2,2,1.0,1.0,1.0,0.0,40.0,Apartment,Private room,0,f,f,flexible,120.0,2022
Bondi Beach,151.2709533,-33.89313228,87.0,4,5,4,1.0,2.0,3.0,500.0,0.0,Apartment,Entire home/apt,0,t,f,strict_14_with_grace_period,319.0,2026
Bondi Beach,151.2834697,-33.89291799,,0,21,1,1.0,4.0,1.0,0.0,0.0,Apartment,Private room,0,t,f,flexible,365.0,2026
Bondi Beach,151.2676898,-33.89223855,97.0,6,4,1,2.0,1.0,1.0,0.0,0.0,Apartment,Private room,147,t,f,moderate,59.0,2026
Bondi Beach,151.2735237,-33.88665283,,0,1,1,1.0,1.0,1.0,0.0,0.0,House,Shared room,0,f,f,flexible,30.0,2026
Bondi Beach,151.2660255,-33.89140225,,0,2,2,1.0,1.0,1.0,200.0,20.0,Apartment,Private room,0,f,f,flexible,70.0,2026
Bondi Beach,151.2755582,-33.88655041,,0,2,4,1.0,2.0,1.0,0.0,0.0,Apartment,Entire home/apt,19,f,f,flexible,100.0,2026
Bondi Beach,151.2791616,-33.88944576,95.0,27,1,1,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,0,f,f,moderate,165.0,2026
Bondi Beach,151.275903,-33.88530638,95.0,5,1,2,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,0,t,f,flexible,74.0,2026
Bondi Beach,151.2706999,-33.88971831,,0,2,2,1.0,1.0,1.0,0.0,25.0,Apartment,Private room,0,,,flexible,60.0,2026
Bondi Beach,151.2724387,-33.8881753,,0,7,2,1.0,1.0,1.0,0.0,75.0,Apartment,Entire home/apt,187,f,f,strict_14_with_grace_period,120.0,2026
Bondi Beach,151.2714883,-33.89386682,,0,3,2,1.0,1.0,1.0,500.0,90.0,Apartment,Private room,0,f,f,flexible,90.0,2026
Bondi Beach,151.2695984,-33.88894818,100.0,2,5,1,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,0,f,f,moderate,180.0,2026
Bondi Beach,151.2697246,-33.88549979,95.0,4,2,4,1.0,1.0,1.0,200.0,100.0,Apartment,Entire home/apt,89,t,f,strict_14_with_grace_period,190.0,2026
Bondi Beach,151.2830685,-33.89077803,,0,1,3,1.0,1.0,1.0,0.0,50.0,Apartment,Entire home/apt,0,f,f,flexible,298.0,2026
Bondi Beach,151.2689361,-33.89548401,100.0,1,2,6,2.0,3.0,3.0,500.0,100.0,Apartment,Entire home/apt,0,t,f,strict_14_with_grace_period,350.0,2026
Bondi Beach,151.2692356,-33.88829881,,1,7,4,1.0,0.0,1.0,0.0,0.0,Apartment,Entire home/apt,0,f,f,moderate,99.0,2026
Bondi Beach,151.2842311,-33.89039391,,0,17,1,1.5,1.0,1.0,0.0,0.0,House,Private room,0,f,f,moderate,49.0,2026
Bondi Beach,151.2718699,-33.88699297,60.0,3,3,2,1.0,1.0,1.0,200.0,40.0,Apartment,Entire home/apt,364,t,f,strict_14_with_grace_period,98.0,2026
Bondi Beach,151.2716671,-33.89369162,95.0,4,2,2,1.0,1.0,1.0,0.0,100.0,Apartment,Entire home/apt,0,t,f,strict_14_with_grace_period,200.0,2026
Bondi Beach,151.2813359,-33.88747497,100.0,1,2,2,1.0,1.0,1.0,0.0,0.0,Apartment,Entire home/apt,0,t,f,flexible,200.0,2026
Bondi Beach,151.2621229,-33.89248891,,0,5,1,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,0,f,f,strict_14_with_grace_period,150.0,2026
Bondi Beach,151.2659563,-33.89551638,100.0,1,5,6,1.0,3.0,3.0,500.0,100.0,Apartment,Entire home/apt,0,f,f,strict_14_with_grace_period,355.0,2026
Bondi Beach,151.2730749,-33.89616572,93.0,19,2,2,1.0,1.0,1.0,250.0,126.0,Apartment,Entire home/apt,0,f,f,strict_14_with_grace_period,100.0,2026
Bondi Beach,151.273009,-33.89320678,100.0,2,3,2,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,0,f,f,strict_14_with_grace_period,70.0,2026
Bondi Beach,151.2748718,-33.89200186,,0,1,2,1.0,1.0,1.0,0.0,132.0,Apartment,Shared room,364,t,f,flexible,337.0,2026
Bondi Beach,151.2715734,-33.89279187,100.0,1,4,4,1.5,2.0,3.0,500.0,0.0,Apartment,Entire home/apt,0,f,f,strict_14_with_grace_period,300.0,2026
Bondi Beach,151.2734705,-33.89435467,,1,3,2,1.5,1.0,1.0,0.0,0.0,Apartment,Private room,177,f,f,strict_14_with_grace_period,108.0,2026
Bondi Beach,151.2667639,-33.89122737,,0,7,1,2.0,1.0,1.0,0.0,0.0,House,Private room,0,t,f,moderate,60.0,2026
Bondi Beach,151.2739812,-33.887444,100.0,1,5,4,1.0,2.0,2.0,1000.0,100.0,Apartment,Entire home/apt,0,t,f,moderate,290.0,2026
Bondi Beach,151.2728555,-33.88914433,100.0,3,5,2,1.0,1.0,1.0,300.0,10.0,Apartment,Private room,89,t,f,flexible,45.0,2026
Bondi Beach,151.2433604,-33.8908081,93.0,3,4,4,1.0,2.0,2.0,0.0,160.0,House,Entire home/apt,0,t,f,strict_14_with_grace_period,200.0,2022
Bondi Beach,151.2786903,-33.88445057,,0,5,6,1.0,3.0,3.0,1200.0,120.0,Apartment,Entire home/apt,0,f,f,moderate,360.0,2026
Bondi Beach,151.271126,-33.88717138,60.0,1,4,1,1.0,1.0,1.0,0.0,0.0,Apartment,Shared room,0,t,f,strict_14_with_grace_period,40.0,2026
Bondi Beach,151.2731384,-33.89105909,92.0,82,2,3,1.0,0.0,2.0,400.0,100.0,Apartment,Entire home/apt,364,t,f,strict_14_with_grace_period,120.0,2026
Bondi Beach,151.273165,-33.89383092,,0,1,1,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,0,f,f,flexible,80.0,2026
Bondi Beach,151.272218,-33.89689757,97.0,7,2,1,1.0,1.0,1.0,0.0,0.0,Apartment,Private room,179,t,f,strict_14_with_grace_period,120.0,2026
Bondi Beach,151.2708472,-33.89216246,100.0,1,2,2,1.0,1.0,1.0,200.0,40.0,Apartment,Private room,0,t,f,strict_14_with_grace_period,80.0,2026
Bondi Beach,151.2603938,-33.89472308,100.0,1,1,2,1.0,1.0,1.0,750.0,75.0,Apartment,Entire home/apt,358,f,f,strict_14_with_grace_period,169.0,2026
Bondi Beach,151.2724229,-33.88570061,100.0,2,2,4,1.0,2.0,1.0,150.0,80.0,Apartment,Entire home/apt,194,t,f,strict_14_with_grace_period,200.0,2026
Bondi Beach,151.2720719,-33.89529706,,0,4,2,1.5,1.0,1.0,0.0,50.0,Apartment,Private room,0,f,f,strict_14_with_grace_period,85.0,2026
Bondi Beach,151.2739728,-33.89144269,98.0,41,1,4,1.0,1.0,2.0,250.0,65.0,Apartment,Entire home/apt,259,t,t,strict_14_with_grace_period,169.0,2026
Bondi Beach,151.2613076,-33.89633632,100.0,2,2,3,1.0,1.0,2.0,0.0,40.0,Apartment,Entire home/apt,0,f,f,flexible,120.0,2026
Bondi Beach,151.2694536,-33.89444008,90.0,4,1,4,1.0,2.0,2.0,250.0,0.0,Apartment,Entire home/apt,156,t,f,moderate,200.0,2026
Bondi Beach,151.2459962,-33.89628267,,0,1,1,2.0,1.0,3.0,150.0,10.0,House,Private room,0,f,f,strict_14_with_grace_period,59.0,2022
